"filename", "language", "Shell Script", "Dart", "JSON", "YAML", "Markdown", "HTML", "XML", "comment", "blank", "total"
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/services/auth.dart", "Dart", 0, 56, 0, 0, 0, 0, 0, 0, 6, 62
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/services/collection_agent_db.dart", "Dart", 0, 234, 0, 0, 0, 0, 0, 3, 25, 262
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/services/database.dart", "Dart", 0, 143, 0, 0, 0, 0, 0, 0, 24, 167
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/services/direct_sale_db.dart", "Dart", 0, 368, 0, 0, 0, 0, 0, 30, 72, 470
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/services/driver_db.dart", "Dart", 0, 207, 0, 0, 0, 0, 0, 4, 19, 230
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/services/expenses_db.dart", "Dart", 0, 75, 0, 0, 0, 0, 0, 0, 9, 84
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/services/farm_db.dart", "Dart", 0, 81, 0, 0, 0, 0, 0, 0, 10, 91
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/services/loadman_db.dart", "Dart", 0, 142, 0, 0, 0, 0, 0, 4, 13, 159
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/services/network.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 6, 1, 9
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/services/purchase_db.dart", "Dart", 0, 101, 0, 0, 0, 0, 0, 1, 15, 117
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/services/region_db.dart", "Dart", 0, 83, 0, 0, 0, 0, 0, 16, 11, 110
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/services/report_db.dart", "Dart", 0, 340, 0, 0, 0, 0, 0, 0, 58, 398
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/services/routes_db.dart", "Dart", 0, 170, 0, 0, 0, 0, 0, 4, 25, 199
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/services/sale_db.dart", "Dart", 0, 275, 0, 0, 0, 0, 0, 14, 47, 336
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/services/shops_db.dart", "Dart", 0, 438, 0, 0, 0, 0, 0, 15, 51, 504
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/services/storage.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 6, 34
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/services/trip_db.dart", "Dart", 0, 140, 0, 0, 0, 0, 0, 3, 21, 164
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/services/vehicle_db.dart", "Dart", 0, 154, 0, 0, 0, 0, 0, 4, 19, 177
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/utils/child_callback_controller.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/utils/colors.dart", "Dart", 0, 27, 0, 0, 0, 0, 0, 0, 3, 30
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/utils/constants.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/utils/flags.dart", "Dart", 0, 60, 0, 0, 0, 0, 0, 0, 15, 75
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/utils/masked_text_formmatter.dart", "Dart", 0, 67, 0, 0, 0, 0, 0, 0, 11, 78
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/utils/style.dart", "Dart", 0, 64, 0, 0, 0, 0, 0, 0, 3, 67
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/utils/utils.dart", "Dart", 0, 94, 0, 0, 0, 0, 0, 3, 19, 116
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/collection_agent/collection_agent_data_table.dart", "Dart", 0, 320, 0, 0, 0, 0, 0, 14, 22, 356
"/Users/soorya/Documents/projects/selvam-broilers/selvam_dashboard/lib/widgets/collection_agent/collection_agent_details.dart", "Dart", 0, 272, 0, 0, 0, 0, 0, 1, 10, 283
